,truth_int,fiction type ,film_condensed,reality_condensed,duration,start,end
28,,,"Forbes call him ""The Wolf of Wall St.""",Nobody called Belfort the Wolf of Wall Street.,27,0:40:20,0:40:47
29,3,,Makes him a superstar.,Made him an attractively infamous employer.,39,0:40:47,0:41:26
30,3,,Montage of debauchery at the ever-expanding office. ,"Plenty of sex, drugs, crazed behaviour in the office.",38,0:41:26,0:42:04
31,0,,Office declared 'fuck-free zone' 8am-7pm.,"Belfort says it happened, Porush says it didn't. ",6,0:42:04,0:42:10
32,0,Dramatic license.,Belfort & Azoff have a 3-way with young employee in the office. ,No three-way.,23,0:42:10,0:42:33
33,1,Dramatic license.,"Jenner marries ""blowjob"" Pam.",A similar relationship did happen.,9,0:42:33,0:42:42
34,3,,"Belfort hires his angry dad, Mad Max.",Quick-tempered Max was the firm's chief financial officer.,61,0:42:42,0:43:43
35,3,,The guys discuss what they can do to little people.,The memoir dedicated three pages to this discussion. ,145,0:43:43,0:46:08
36,3,,"Mad Max is furious about ""expenses""",Max was 'careful' with cash. ,117,0:46:08,0:48:05
37,3,,Montage of prostitutes at the office. ,Several 'classes' of prostitutes graced the office. ,29,0:48:05,0:48:34
38,-1,Story coherence. ,Belfort admits he's no longer attracted to his wife.,Not in the book. ,101,0:48:34,0:50:15
39,2,,Big party. Belfort meets his future second wife.,Belfort met Nadine at a party. ,307,0:50:15,0:55:22
40,3,,They have a date.,Belfort had an affair with Nadine. ,83,0:55:22,0:56:45
41,2,Story coherence.,"His wife catches him on a date, leaves him.",Belfort left Denise for Nadine.,311,0:56:45,1:01:56
42,2,,Belfort dining at home. Has a butler.,Belfort had a 'managerie' of domestic staff.,26,1:01:56,1:02:22
43,-1,Dramatic license.,Butler is caught having a gay orgy at the home.,Not in the book. ,41,1:02:22,1:03:03
44,-1,Dramatic license.,"Belfort interrogates the butler, hang him off the roof.",Not in the book. ,127,1:03:03,1:05:10
45,2,,Belfort & his rathole Brad.,Garrett acted as a rathole for Belfort.,28,1:05:10,1:05:38
46,3,,SEC investigate Stratton Oakmont.,SEC did investigate Stratton.,23,1:05:38,1:06:01
47,3,,SEC officers pour through files in the conference room.,Belfort bugged & froze up the conference room. ,14,1:06:01,1:06:15
48,3,,Strattion set up an illegal IPO. Is now very rich.,Stratton manipulated multiple IPOs.,45,1:06:15,1:07:00
49,2,Story coherence.,BELFORT proposes to NAOMI. She says yes. ,Belfort married Nadine.,29,1:07:00,1:07:29
50,3,Story coherence.,BELFORT's stag party. ,Belfort partied constantly. ,60,1:07:29,1:08:29
51,2,,BELFORT & NAOMI's wedding. NAOMI's AUNT EMMA appears. ,Nadine had an English Aunt Patricia.,118,1:08:29,1:10:27
52,3,,Belfort gives his wife a yacht. Buys a house in Long Island.,"Nadine' was a 167ft yacht, originally built for Coco Chanel.",62,1:10:27,1:11:29
53,3,,Noami is furious over Belfort's affair with a prostitute.,Nadine threw cold water over a sleeping Belfort. ,35,1:11:29,1:12:04
54,3,,BELFORT with a dominatrix named VENICE. ,Venice was Belfort's dominatrix prostitute. ,43,1:12:04,1:12:47
55,3,,BELFORT tries to lie to NAOMI about VENICE. He is also now a father. ,"Belfort's lying failed. He had a baby daughter, Chandler.",45,1:12:47,1:13:32
56,,,Wated Belfort badly lands a helicopter.,Belfort crash landed his helicopter.,8,1:13:32,1:13:40
57,,Dramatic license.,BELFORT falls into his own pool. ,Belfort stumbled on the grass.,4,1:13:40,1:13:44
58,3,,BELFORT & NAOMI argue in their bedroom. ,Nadine was furious about Venice. ,97,1:13:44,1:15:21
59,3,,NOAMI spreads her legs to tease Belfort. It's caught on CCTV.,Nadine's candid camera moment really happened. ,131,1:15:21,1:17:32
60,3,,Azoff swallows a goldfish.,Porush swallowed a guy's goldfish. Steve Madden & Belfort made millions together.,517,1:17:32,1:26:09
61,3,,FBI subpoenaed the guy who shot BELFORT's wedding video.,FBI subpoenaed the wedding video. ,76,1:26:09,1:27:25
62,3,,BELFORT discussing the FBI case with his PI.,Belfort's P.I. 'Bo' Dietl had his own little section in a Harlem restaurant. ,102,1:27:25,1:29:07
63,-1,Dramatic license.,Belfort tries to bribe the FBI officer on his yacht.,Not in the book. ,520,1:29:07,1:37:47
64,2,,Belfort is heading to Switzerland.,Belfort spent time in Switzerland setting up his dodgy Swiss accounts.,10,1:37:47,1:37:57
65,3,,Belfort takes Quaaludes on the flight.,Belfort didn't feel like taking a long flight sober. ,48,1:37:57,1:38:45
66,3,,The guys cause trouble with the stewardess.,"Belfort harassed Franca, a stewardess. ",77,1:38:45,1:40:02
67,3,,Belfort wakes up to find himself tied down.,Belfort was tied down with 4 seatbelts.,30,1:40:02,1:40:32
68,3,,Flashback: Belfort humps the stewardess like a dog.,Belfort groped & tongued his way through the flight.,15,1:40:32,1:40:47
69,3,,Azoff tries to calm his boss down.,Porush tried to calm Belfort down.,48,1:40:47,1:41:35
70,3,,Belfort is released in Switzerland.,Handali probably made the charges go away. ,17,1:41:35,1:41:52
71,3,,They meet the Swiss banker.,Belfort & Handali met in the bank hallway. ,24,1:41:52,1:42:16
72,3,,Meeting between the gang & Swiss banking team.,There was such a meeting.,9,1:42:16,1:42:25
73,0,Dramatic license. ,Subtle power struggle between SAUREL & BELFORT.,Handali & Belfort got along great.,167,1:42:25,1:45:12
74,3,,Belfort visits Aunt Emma. She agrees to open a Swiss bank account.,Aunt Patricia opened an account for Belfort. ,44,1:45:12,1:45:56
75,0,Dramatic license.,Aunt Emma kinda kiss.,No kiss.,148,1:45:56,1:48:24
76,3,,BELFORT & NAOMI have sex amidst piles of cash. ,A $3m pile of cash. ,10,1:48:24,1:48:34
77,2,Dramatic license.,The gang smuggle cash into Switzerland.,Cash was taped to Chantalle. Porush wasn't there. ,94,1:48:34,1:50:08
